1742872736.365700098,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872736.529970956,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872736.756577554,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872736.930398702,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872737.133492058,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872737.336843375,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872737.529076096,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872737.728452671,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872737.940707396,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872738.138320497,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872738.337414902,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872738.530541215,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872738.754698876,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872738.929760826,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872739.128549104,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872739.340278825,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872739.532090793,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872739.735218149,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872739.943307506,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872740.133921131,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872740.328165161,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872740.545027010,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872740.730150837,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872740.940049668,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872741.136887679,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872741.328566604,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872741.539319859,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872741.727888425,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872741.943264302,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872742.128836425,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872742.332750663,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872742.546134732,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872742.740814891,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872742.939835837,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872743.134104660,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872743.328885570,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872743.579798834,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872743.743754273,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872743.927985176,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872744.127946672,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872744.327668833,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872744.533411961,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872744.748816422,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872744.932892158,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872745.137664070,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
